timestamp,pitch_rad,pitch_rate_rad_s,x_m,x_dot_m_s,action
1780133075.898734,0.03920140259671637,-0.001222940992723286,0.0,0.0,"0.6955,0.8143"
1780133075.9191475,-0.016911172634199195,-0.0012432196856197522,0.0,0.0,"0.6955,0.8143"
1780133075.938942,0.006395773216566314,-0.0008873289043909178,0.0,0.0,"0.6955,0.8143"
1780133075.958368,0.08585357138682748,-0.0016041800132071786,0.0,0.0,"0.6955,0.8143"
1780133075.9773905,0.03138544656761322,-0.0012376426771632011,0.0,0.0,"1.0000,-0.7754"
1780133075.9960272,-0.05213519298818081,-0.0011671744603924776,0.0,0.0,"1.0000,-0.9065"
1780133076.0163877,-0.04730333723876401,-0.0011590626787566314,0.0,0.0,"0.9999,-0.6537"
1780133076.0366955,-0.018098690457668765,-0.001148416123941491,0.0,0.0,"1.0000,-0.9062"
1780133076.0569088,-0.029792720189619648,-0.0012254752584404827,0.0,0.0,"0.9998,-0.5781"
1780133076.0777414,-0.08010525575939687,-0.0009375184282651751,0.0,0.0,"0.6955,0.8143"
1780133076.0990367,0.0016153838105450458,-0.0013400500509172537,0.0,0.0,"0.6955,0.8143"
1780133076.1205993,-0.005558563776756009,-0.0014236998494134637,0.0,0.0,"0.6955,0.8143"
1780133076.140125,-0.005056915123411221,-0.0013121667847518495,0.0,0.0,"0.6955,0.8143"
1780133076.1599467,0.02501858236101162,-0.001398858057332167,0.0,0.0,"0.6955,0.8143"
1780133076.179013,0.02001473368556772,-0.0013486685334579097,0.0,0.0,"0.6955,0.8143"
1780133076.1988277,0.018679401509459903,-0.0011327007839609044,0.0,0.0,"0.6955,0.8143"
1780133076.21835,0.023783917835929702,-0.0010368836936074984,0.0,0.0,"0.6955,0.8143"
1780133076.2381184,0.062055233487402606,-0.0013664123263095545,0.0,0.0,"0.6955,0.8143"
1780133076.2577474,0.060918178087981945,-0.0013025345198050004,0.0,0.0,"0.6955,0.8143"
1780133076.2766852,0.07988749398948825,-0.0011342214892865758,0.0,0.0,"0.6955,0.8143"
1780133076.2958658,0.07326865709349417,-0.0009456297024389231,0.0,0.0,"0.6955,0.8143"
1780133076.314928,0.006583893364550786,-0.0003291577682367035,0.0,0.0,"0.6955,0.8143"
1780133076.3339448,-0.03380218397228618,-8.175794325775598e-05,0.0,0.0,"0.6955,0.8143"
1780133076.3527498,-0.043016484196855886,-8.12512423529455e-05,0.0,0.0,"0.6955,0.8143"
1780133076.371751,-0.027980908067273602,-0.0002150903109923658,0.0,0.0,"0.6955,0.8143"
1780133076.3907948,-0.007308453202146792,-0.0003763064523544784,0.0,0.0,"0.6955,0.8143"
1780133076.40995,-0.021122319053614835,-0.0004158494214135944,0.0,0.0,"0.6955,0.8143"
1780133076.428894,-0.03635958423269059,-0.0008533619288641544,0.0,0.0,"0.6955,0.8143"
1780133076.4478202,-0.01804936576022864,-0.0008295345535166733,0.0,0.0,"0.6955,0.8143"
1780133076.4668984,-0.002641668127904895,-0.0009065926730914674,0.0,0.0,"0.6955,0.8143"
1780133076.485715,0.07348379625418688,-0.0011109009734258102,0.0,0.0,"0.6955,0.8143"
1780133076.504699,0.17336482458245994,-0.001303547794749095,0.0,0.0,"0.6955,0.8143"
1780133076.5240724,0.18154164625963576,-0.001375537890351595,0.0,0.0,"0.6955,0.8143"
1780133076.5437536,0.12274131585951054,-0.0012264896751742996,0.0,0.0,"0.6955,0.8143"
1780133076.5633123,0.0416327073109356,-0.001024209700845494,0.0,0.0,"0.6955,0.8143"
1780133076.582939,0.017501033193266124,-0.0010313070657475228,0.0,0.0,"0.6955,0.8143"
1780133076.6025438,0.039871415873403926,-0.001165653342753851,0.0,0.0,"0.6955,0.8143"
1780133076.6219301,0.10108796068506942,-0.0012923953002222913,0.0,0.0,"0.6955,0.8143"
1780133076.6416643,0.07745133634273005,-0.0012072246378185025,0.0,0.0,"0.6955,0.8143"
1780133076.6609461,0.09299832524151763,-0.0011261101199636855,0.0,0.0,"0.6955,0.8143"
1780133076.680156,0.11628508564712581,-0.0011408120581346511,0.0,0.0,"0.6955,0.8143"
1780133076.6991632,0.05105859994840267,-0.001051586012375038,0.0,0.0,"0.6955,0.8143"
1780133076.71818,0.004271707422712323,-0.0010059588264924632,0.0,0.0,"0.6955,0.8143"
1780133076.737232,-0.0257391275415072,-0.0009912568883214976,0.0,0.0,"0.6955,0.8143"
1780133076.756204,0.025647165107117842,-0.001035869657470255,0.0,0.0,"0.6955,0.8143"
1780133076.7750666,0.09699393382863764,-0.0010252231026551136,0.0,0.0,"0.6955,0.8143"
1780133076.7944868,0.10578422887979155,-0.0009390392921727537,0.0,0.0,"0.6955,0.8143"
1780133076.8137264,0.08921679570121477,-0.0008660360484916833,0.0,0.0,"0.6955,0.8143"
1780133076.832958,0.0024297127743468927,-0.0008574175659510279,0.0,0.0,"0.6955,0.8143"
1780133076.8519354,0.03294386463125798,-0.0007965813603961038,0.0,0.0,"0.6955,0.8143"
1780133076.8710113,0.024982169728480996,-0.000813818325477415,0.0,0.0,"0.6955,0.8143"
1780133076.8903544,-0.021918510010006553,-0.0008569103575841194,0.0,0.0,"0.6955,0.8143"
1780133076.9098144,0.05168351990429254,-0.0008756684403040578,0.0,0.0,"0.6955,0.8143"
1780133076.928393,0.11200212541205579,-0.0008432225824159206,0.0,0.0,"0.6955,0.8143"
1780133076.9481764,0.0698616373671671,-0.0008584313483572218,0.0,0.0,"0.6955,0.8143"
1780133076.9673777,0.014249583058584703,-0.000982638405780842,0.0,0.0,"0.6955,0.8143"
1780133076.9865463,0.02033818172045554,-0.0009618526313829913,0.0,0.0,"0.6955,0.8143"
1780133077.0057704,0.10483975783795696,-0.0012949299465360629,0.0,0.0,"0.6955,0.8143"
1780133077.0250897,0.10792310939265326,-0.0015691992136464704,0.0,0.0,"0.6955,0.8143"
1780133077.0448477,0.05399678324324009,-0.0012087456920243668,0.0,0.0,"0.9163,0.6424"
1780133077.0651653,-0.01031794828603605,-0.0004315652054235168,0.0,0.0,"0.6955,0.8143"
1780133077.0851855,0.045469997460956924,-0.0007646424888602078,0.0,0.0,"0.6955,0.8143"
1780133077.105275,0.06318055326541794,-0.0011844111717427392,0.0,0.0,"0.6955,0.8143"
1780133077.1253238,-0.012364229191194176,-0.0005491815354171561,0.0,0.0,"0.6955,0.8143"
1780133077.1449025,-0.012100819301758214,-0.00032206030818553166,0.0,0.0,"0.6955,0.8143"
1780133077.1644733,0.004348658866415556,-0.0006941740500748149,0.0,0.0,"0.6955,0.8143"
1780133077.1837137,0.04194855608714687,-0.0007631215932362487,0.0,0.0,"0.6955,0.8143"
1780133077.2028215,0.026445953930893884,-0.0007271269894643354,0.0,0.0,"0.6955,0.8143"
1780133077.2219284,-0.023621049944767214,-0.0008964539609708588,0.0,0.0,"0.6955,0.8143"
1780133077.2408824,0.004712094954748225,-0.000773768021185866,0.0,0.0,"0.6955,0.8143"
1780133077.2598765,0.068217646759831,-0.00093549035599069,0.0,0.0,"0.6955,0.8143"
1780133077.2790349,0.028863050886797192,-0.0007778236582727395,0.0,0.0,"0.6955,0.8143"
1780133077.2985132,-0.08105591985322214,-0.00020900660163100638,0.0,0.0,"0.6955,0.8143"
1780133077.3173828,0.002458057813471415,-0.0007788375675444582,0.0,0.0,"0.6955,0.8143"
