t_unix,t_rel_s,enc_m1,enc_m2,slot0_bus1_ax,slot0_bus1_ay,slot0_bus1_az,slot0_bus1_gx,slot0_bus1_gy,slot0_bus1_gz,slot1_bus1_ax,slot1_bus1_ay,slot1_bus1_az,slot1_bus1_gx,slot1_bus1_gy,slot1_bus1_gz
1780408877.036213,4.261809,-53,82,-80,-209,-16583,-30,2,35,-80,-209,-16583,-30,2,35
1780408877.055248,4.280844,-53,82,-83,-206,-16529,-23,2,46,-83,-206,-16529,-23,2,46
1780408877.074275,4.299870,-53,82,-65,-187,-16549,-39,-3,42,-65,-187,-16549,-39,-3,42
1780408877.093031,4.318627,-53,82,-46,-184,-16572,-28,-10,29,-46,-184,-16572,-28,-10,29
1780408877.112010,4.337606,-53,82,-29,-248,-16565,-43,-8,48,-29,-248,-16565,-43,-8,48
1780408877.131032,4.356627,-53,82,-61,-211,-16526,-22,3,30,-61,-211,-16526,-22,3,30
1780408877.151736,4.377332,-53,82,-49,-213,-16577,-50,-12,39,-49,-213,-16577,-50,-12,39
1780408877.170983,4.396579,-53,82,-29,-220,-16569,-31,-1,35,-29,-220,-16569,-31,-1,35
1780408877.189250,4.414846,-53,82,-66,-234,-16556,-41,7,31,-66,-234,-16556,-41,7,31
1780408877.207371,4.432966,-53,82,-8,-218,-16571,-42,-10,37,-8,-218,-16571,-42,-10,37
1780408877.225514,4.451110,-53,82,-84,-161,-16563,-21,-8,35,-84,-161,-16563,-21,-8,35
1780408877.243709,4.469304,-53,82,-47,-197,-16549,-32,4,33,-47,-197,-16549,-32,4,33
1780408877.261618,4.487214,-53,82,-91,-248,-16563,-35,-7,24,-91,-248,-16563,-35,-7,24
1780408877.280719,4.506314,-53,82,-38,-251,-16561,-31,-4,23,-38,-251,-16561,-31,-4,23
1780408877.299919,4.525514,-53,82,-15,-193,-16517,-41,-5,32,-15,-193,-16517,-41,-5,32
1780408877.319063,4.544659,-53,82,-38,-260,-16551,-38,5,44,-38,-260,-16551,-38,5,44
1780408877.338397,4.563993,-53,82,-27,-229,-16569,-49,-1,49,-27,-229,-16569,-49,-1,49
1780408877.357446,4.583041,-53,82,-87,-196,-16548,-47,13,26,-87,-196,-16548,-47,13,26
1780408877.376618,4.602214,-53,82,-79,-229,-16519,-49,5,34,-79,-229,-16519,-49,5,34
1780408877.395644,4.621240,-53,82,-9,-228,-16556,-34,-2,41,-9,-228,-16556,-34,-2,41
1780408877.414644,4.640240,-53,82,-27,-238,-16527,-21,-1,50,-27,-238,-16527,-21,-1,50
1780408877.433651,4.659246,-53,82,-85,-263,-16575,-53,0,40,-85,-263,-16575,-53,0,40
1780408877.452741,4.678337,-53,82,4,-244,-16542,-33,4,39,4,-244,-16542,-33,4,39
1780408877.471743,4.697339,-53,82,-39,-217,-16504,-49,5,38,-39,-217,-16504,-49,5,38
1780408877.490745,4.716340,-53,82,-122,-210,-16568,-29,-6,42,-122,-210,-16568,-29,-6,42
1780408877.509719,4.735315,-53,82,-56,-226,-16549,-39,-10,37,-56,-226,-16549,-39,-10,37
1780408877.528783,4.754379,-53,82,-50,-253,-16545,-35,-4,27,-50,-253,-16545,-35,-4,27
